Team,Elo_Score,LastMatchDate,TW_rate,TD_rate,TW_rate_7,TD_rate_7,TW_rate_12,TL_rate_7,TD_rate_12,TL_rate_12,HTHW_rate_5,ATAW_rate_5,last_TR_isW_1,last_TR_isL_1,last_TR_isW_2,last_TR_isL_2,last_TR_isW_3,last_TR_isL_3,last_HTHR_isW_1,last_HTHR_isL_1,last_HTHR_isW_2,last_HTHR_isL_2,last_ATAR_isW_1,last_ATAR_isL_1,last_ATAR_isW_2,last_ATAR_isL_2
Arsenal,181.54254536884704,2024-11-11,0.45454545454545453,0.36363636363636365,0.2857142857142857,0.42857142857142855,0.45454545454545453,0.28571428571428575,0.36363636363636365,0.18181818181818177,0.6,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Aston Villa,54.65837257548632,2024-11-10,0.45454545454545453,0.2727272727272727,0.2857142857142857,0.42857142857142855,0.45454545454545453,0.28571428571428575,0.2727272727272727,0.2727272727272727,0.4,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Bournemouth,-47.13187824024049,2024-11-10,0.36363636363636365,0.2727272727272727,0.42857142857142855,0.14285714285714285,0.36363636363636365,0.42857142857142855,0.2727272727272727,0.36363636363636365,0.6,0.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Brentford,-45.330350555232336,2024-11-10,0.45454545454545453,0.09090909090909091,0.42857142857142855,0.14285714285714285,0.45454545454545453,0.42857142857142855,0.09090909090909091,0.4545454545454545,0.8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Brighton,20.463122460065335,2024-11-10,0.45454545454545453,0.36363636363636365,0.42857142857142855,0.2857142857142857,0.45454545454545453,0.2857142857142857,0.36363636363636365,0.18181818181818177,0.4,0.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Burnley,-170.23879865834175,2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff,-124.06520421170656,2019-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,77.32841021637545,2024-11-11,0.45454545454545453,0.36363636363636365,0.42857142857142855,0.42857142857142855,0.45454545454545453,0.14285714285714285,0.36363636363636365,0.18181818181818177,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Crystal Palace,-57.9155124657731,2024-11-10,0.09090909090909091,0.36363636363636365,0.14285714285714285,0.2857142857142857,0.09090909090909091,0.5714285714285715,0.36363636363636365,0.5454545454545454,0.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Everton,-71.02419045802613,2024-11-10,0.18181818181818182,0.36363636363636365,0.2857142857142857,0.5714285714285714,0.18181818181818182,0.1428571428571429,0.36363636363636365,0.4545454545454545,0.2,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fulham,-24.514385636016364,2024-11-10,0.45454545454545453,0.2727272727272727,0.5714285714285714,0.14285714285714285,0.45454545454545453,0.28571428571428575,0.2727272727272727,0.2727272727272727,0.6,0.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Huddersfield,-208.8907396208233,2019-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hull,-114.08028182975767,2017-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipswich,-178.60103883325553,2024-11-10,0.09090909090909091,0.45454545454545453,0.14285714285714285,0.42857142857142855,0.09090909090909091,0.42857142857142866,0.45454545454545453,0.45454545454545453,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Leeds,-123.17143353190347,2023-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicester,-176.54723622350144,2024-11-10,0.18181818181818182,0.36363636363636365,0.2857142857142857,0.2857142857142857,0.18181818181818182,0.4285714285714286,0.36363636363636365,0.4545454545454545,0.2,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Liverpool,201.5844473148442,2024-11-10,0.8181818181818182,0.09090909090909091,0.8571428571428571,0.14285714285714285,0.8181818181818182,5.551115123125783e-17,0.09090909090909091,0.09090909090909086,0.8,0.8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Luton,-171.89510515851845,2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,243.56348346475215,2024-11-10,0.6363636363636364,0.18181818181818182,0.42857142857142855,0.2857142857142857,0.6363636363636364,0.2857142857142857,0.18181818181818182,0.18181818181818182,0.8,0.4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Manchester Utd,40.94014776377616,2024-11-10,0.36363636363636365,0.2727272727272727,0.2857142857142857,0.42857142857142855,0.36363636363636365,0.28571428571428575,0.2727272727272727,0.36363636363636365,0.4,0.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Middlesbrough,-137.7435076914857,2017-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle,54.56093459678668,2024-11-10,0.45454545454545453,0.2727272727272727,0.2857142857142857,0.2857142857142857,0.45454545454545453,0.4285714285714286,0.2727272727272727,0.2727272727272727,0.6,0.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Norwich,-196.63550849890314,2022-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nottingham,-65.41772982896472,2024-11-10,0.45454545454545453,0.36363636363636365,0.42857142857142855,0.2857142857142857,0.45454545454545453,0.2857142857142857,0.36363636363636365,0.18181818181818177,0.4,0.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Sheffield Utd,-218.18122552024792,2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southampton,-217.58719574049707,2024-11-10,0.09090909090909091,0.09090909090909091,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.7142857142857144,0.09090909090909091,0.8181818181818181,0.2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Stoke,-89.02558720221808,2018-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunderland,-138.2476663120058,2017-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swansea,-99.25516896243347,2018-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tottenham,28.933821541158927,2024-11-10,0.45454545454545453,0.09090909090909091,0.5714285714285714,0.0,0.45454545454545453,0.4285714285714286,0.09090909090909091,0.4545454545454545,0.6,0.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Watford,-201.75736627329616,2022-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,-161.74111016090652,2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,-41.472259315100516,2024-11-10,0.2727272727272727,0.2727272727272727,0.2857142857142857,0.2857142857142857,0.2727272727272727,0.4285714285714286,0.2727272727272727,0.4545454545454546,0.4,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Wolves,-92.37892859437889,2024-11-10,0.09090909090909091,0.2727272727272727,0.14285714285714285,0.2857142857142857,0.09090909090909091,0.5714285714285715,0.2727272727272727,0.6363636363636364,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
