Team,Elo_Score,LastMatchDate,TW_rate,TW_rate_7,TW_rate_12,TL_rate_7,TL_rate_12,HTHW_rate_5,ATAW_rate_5,last_TR_isW_1,last_TR_isL_1,last_TR_isW_2,last_TR_isL_2,last_TR_isW_3,last_TR_isL_3,last_HTHR_isW_1,last_HTHR_isL_1,last_HTHR_isW_2,last_HTHR_isL_2,last_ATAR_isW_1,last_ATAR_isL_1,last_ATAR_isW_2,last_ATAR_isL_2
Atlanta Hawks,-80.21035429190152,2024-11-10,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.2,0.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Boston Celtics,258.59303040801535,2024-11-11,0.8125,0.7142857142857143,0.75,0.2857142857142857,0.25,0.8,0.8,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Brooklyn Nets,-99.13891539814333,2024-11-10,0.35714285714285715,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.6666666666666667,0.6,0.2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Charlotte Hornets,-127.98118822350041,2024-11-11,0.4,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.6666666666666667,0.6,0.2,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Chicago Bulls,-16.951018425136297,2024-11-10,0.4666666666666667,0.42857142857142855,0.5,0.5714285714285714,0.5,0.4,0.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Cleveland Cavaliers,73.54432778887993,2024-11-10,0.7333333333333333,1.0,0.9166666666666666,0.0,0.08333333333333337,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Dallas Mavericks,110.32898790700358,2024-11-11,0.5,0.5714285714285714,0.5833333333333334,0.4285714285714286,0.41666666666666663,0.4,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Denver Nuggets,126.37599650747626,2024-11-11,0.4666666666666667,0.7142857142857143,0.5833333333333334,0.2857142857142857,0.41666666666666663,0.8,0.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Detroit Pistons,-177.5580889460401,2024-11-11,0.4375,0.5714285714285714,0.4166666666666667,0.4285714285714286,0.5833333333333333,0.4,0.4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
East,-80.27229666862148,2024-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden State Warriors,150.05824601037966,2024-11-11,0.875,0.8571428571428571,0.8333333333333334,0.1428571428571429,0.16666666666666663,0.8,0.8,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Houston Rockets,29.299891669706334,2024-11-11,0.6428571428571429,0.7142857142857143,0.6666666666666666,0.2857142857142857,0.33333333333333337,0.6,0.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Indiana Pacers,46.14195396846996,2024-11-11,0.5,0.5714285714285714,0.5,0.4285714285714286,0.5,0.8,0.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Los Angeles Clippers,79.66826110491729,2024-11-10,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.4285714285714286,0.33333333333333337,0.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Los Angeles Lakers,49.11030530731861,2024-11-09,0.4666666666666667,0.42857142857142855,0.5,0.5714285714285714,0.5,0.8,0.2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Memphis Grizzlies,-67.67548812504138,2024-11-11,0.5625,0.5714285714285714,0.5,0.4285714285714286,0.5,0.6,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Miami Heat,11.426926680790373,2024-11-11,0.5,0.2857142857142857,0.5,0.7142857142857143,0.5,0.4,0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Milwaukee Bucks,-43.21853056212477,2024-11-11,0.21428571428571427,0.14285714285714285,0.25,0.8571428571428572,0.75,0.4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Minnesota Timberwolves,119.7705097259633,2024-11-11,0.6,0.7142857142857143,0.5833333333333334,0.2857142857142857,0.41666666666666663,0.8,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
New Orleans Pelicans,-23.65257264398192,2024-11-09,0.3076923076923077,0.14285714285714285,0.25,0.8571428571428572,0.75,0.4,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
New York Knicks,65.36295249612293,2024-11-11,0.5714285714285714,0.42857142857142855,0.5,0.5714285714285714,0.5,0.8,0.4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Oklahoma City Thunder,162.17371206812035,2024-11-11,0.7857142857142857,0.7142857142857143,0.8333333333333334,0.2857142857142857,0.16666666666666663,0.8,0.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Orlando Magic,-3.0861194795455473,2024-11-11,0.42857142857142855,0.2857142857142857,0.5,0.7142857142857143,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Philadelphia 76ers,-17.049172614084867,2024-11-11,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.4,0.2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Phoenix Suns,116.44386317543908,2024-11-11,0.7333333333333333,0.8571428571428571,0.75,0.1428571428571429,0.25,0.8,0.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Portland Trail Blazers,-153.63525938217074,2024-11-11,0.35714285714285715,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.2,0.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Sacramento Kings,1.1823342467765254,2024-11-11,0.4,0.7142857142857143,0.5,0.2857142857142857,0.5,0.4,0.8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
San Antonio Spurs,-107.240236956223,2024-11-10,0.4,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.6666666666666667,0.6,0.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Team Durant,-124.76611174115101,2022-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Giannis,-108.4008896398238,2023-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team LeBron,-103.93624880655945,2023-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Stephen,-104.01555129170897,2018-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team USA,-99.8088625701119,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team World,-134.05122606513012,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto Raptors,-156.0133023993585,2024-11-10,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.8571428571428572,0.6666666666666667,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Utah Jazz,-118.20931026314565,2024-11-10,0.35714285714285715,0.2857142857142857,0.25,0.7142857142857143,0.75,0.2,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Washington Wizards,-207.86174135498217,2024-11-11,0.3076923076923077,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.2,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
West,-91.98648213471962,2024-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
